personas,225970
varones,100581
mujeres,125389
fecha,fallecidos,terapia,casos_dx,graves,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-01-01,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,1,0,0,0,0
2020-03-04,0,0,0,0,0,0,1,1,0
2020-03-05,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,1,1,0
2020-03-07,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,2,2,0
2020-03-09,0,1,0,1,0,2,1,1,0
2020-03-10,0,0,0,0,1,1,0,0,3
2020-03-11,0,0,1,0,2,1,1,1,1
2020-03-12,0,0,0,0,0,1,1,1,2
2020-03-13,0,0,1,0,1,0,2,2,0
2020-03-14,0,0,2,0,2,1,2,2,0
2020-03-15,0,0,2,0,2,0,1,1,1
2020-03-16,0,0,1,0,4,1,2,2,1
2020-03-17,0,1,0,1,0,1,0,0,4
2020-03-18,1,0,3,0,5,1,1,1,0
2020-03-19,0,0,0,0,3,0,0,0,0
2020-03-20,0,0,2,0,2,0,1,1,1
2020-03-21,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,1,0,2,0,2,2,0
2020-03-23,0,0,0,0,2,4,4,4,1
2020-03-24,0,0,0,0,0,3,1,1,5
2020-03-25,0,0,1,0,3,0,2,2,1
2020-03-26,0,0,2,0,5,0,2,2,2
2020-03-27,0,0,2,0,4,2,0,0,0
2020-03-28,0,0,2,0,4,0,0,0,1
2020-03-29,0,0,0,0,2,0,0,0,0
2020-03-30,0,0,1,0,3,1,0,0,1
2020-03-31,0,0,1,0,3,2,2,2,0
2020-04-01,0,0,0,0,4,1,0,0,1
2020-04-02,0,0,1,0,3,0,0,0,1
2020-04-03,0,0,2,0,6,0,0,0,0
2020-04-04,0,1,0,1,7,0,0,0,0
2020-04-05,0,0,0,0,5,0,1,1,1
2020-04-06,0,0,0,0,1,1,1,1,1
2020-04-07,0,1,1,1,3,1,0,0,2
2020-04-08,0,0,1,0,4,0,0,0,0
2020-04-09,0,0,0,0,7,0,0,0,0
2020-04-10,0,0,0,0,3,0,2,2,0
2020-04-11,1,0,0,0,5,0,0,0,0
2020-04-12,0,0,0,0,3,0,1,2,0
2020-04-13,0,0,1,0,4,1,0,0,1
2020-04-14,0,0,0,0,0,0,0,0,2
2020-04-15,0,0,1,0,6,0,0,0,0
2020-04-16,0,0,1,0,7,0,1,0,1
2020-04-17,0,0,2,0,9,0,1,1,0
2020-04-18,0,1,0,1,10,1,2,2,0
2020-04-19,0,0,0,0,3,1,0,0,2
2020-04-20,0,0,1,0,6,1,1,2,0
2020-04-21,0,0,2,0,5,1,1,1,2
2020-04-22,0,0,0,0,0,0,2,2,0
